,category,v1,v2,v3,v4,word,Score
0,capital-common-countries,Athens,Greece,Baghdad,Iraq,Iraqi,0.635187029838562
1,capital-common-countries,Athens,Greece,Bangkok,Thailand,Thailand,0.7137669920921326
2,capital-common-countries,Athens,Greece,Beijing,China,China,0.7235777378082275
3,capital-common-countries,Athens,Greece,Berlin,Germany,Germany,0.6734623312950134
4,capital-common-countries,Athens,Greece,Bern,Switzerland,Switzerland,0.4919748306274414
5,capital-common-countries,Athens,Greece,Cairo,Egypt,Egypt,0.7527808547019958
6,capital-common-countries,Athens,Greece,Canberra,Australia,Australia,0.5837324857711792
7,capital-common-countries,Athens,Greece,Hanoi,Vietnam,Viet_Nam,0.6276342272758484
8,capital-common-countries,Athens,Greece,Havana,Cuba,Cuba,0.6460990905761719
9,capital-common-countries,Athens,Greece,Helsinki,Finland,Finland,0.68999844789505
10,capital-common-countries,Athens,Greece,Islamabad,Pakistan,Pakistan,0.7233324646949768
11,capital-common-countries,Athens,Greece,Kabul,Afghanistan,Afghan,0.6160916090011597
12,capital-common-countries,Athens,Greece,London,England,Britain,0.5646187663078308
13,capital-common-countries,Athens,Greece,Madrid,Spain,Spain,0.7036612629890442
14,capital-common-countries,Athens,Greece,Moscow,Russia,Russia,0.7382973432540894
15,capital-common-countries,Athens,Greece,Oslo,Norway,Norway,0.6470744013786316
16,capital-common-countries,Athens,Greece,Ottawa,Canada,Canada,0.5912168622016907
17,capital-common-countries,Athens,Greece,Paris,France,France,0.6724624037742615
18,capital-common-countries,Athens,Greece,Rome,Italy,Italy,0.6826189756393433
19,capital-common-countries,Athens,Greece,Stockholm,Sweden,Sweden,0.6757245063781738
20,capital-common-countries,Athens,Greece,Tehran,Iran,Iran,0.7671369910240173
21,capital-common-countries,Athens,Greece,Tokyo,Japan,Japan,0.725609540939331
22,capital-common-countries,Baghdad,Iraq,Bangkok,Thailand,Thailand,0.6745353937149048
23,capital-common-countries,Baghdad,Iraq,Beijing,China,China,0.6915649175643921
24,capital-common-countries,Baghdad,Iraq,Berlin,Germany,Germany,0.6057409048080444
25,capital-common-countries,Baghdad,Iraq,Bern,Switzerland,coach_Bobby_Curlings,0.4347156882286072
26,capital-common-countries,Baghdad,Iraq,Cairo,Egypt,Egypt,0.6848487854003906
27,capital-common-countries,Baghdad,Iraq,Canberra,Australia,Mr_Rudd,0.6186108589172363
28,capital-common-countries,Baghdad,Iraq,Hanoi,Vietnam,Vietnam,0.749355137348175
29,capital-common-countries,Baghdad,Iraq,Havana,Cuba,Cuba,0.7133255004882812
30,capital-common-countries,Baghdad,Iraq,Helsinki,Finland,Finland,0.5972561836242676
31,capital-common-countries,Baghdad,Iraq,Islamabad,Pakistan,Pakistan,0.7466936707496643
32,capital-common-countries,Baghdad,Iraq,Kabul,Afghanistan,Afghanistan,0.8359360098838806
33,capital-common-countries,Baghdad,Iraq,London,England,Britain,0.5853632688522339
34,capital-common-countries,Baghdad,Iraq,Madrid,Spain,Spain,0.6144676804542542
35,capital-common-countries,Baghdad,Iraq,Moscow,Russia,Russia,0.7236210703849792
36,capital-common-countries,Baghdad,Iraq,Oslo,Norway,Norway,0.5987579822540283
37,capital-common-countries,Baghdad,Iraq,Ottawa,Canada,Prime_Minister_Jean_Chrétien,0.5704855918884277
38,capital-common-countries,Baghdad,Iraq,Paris,France,France,0.6203720569610596
39,capital-common-countries,Baghdad,Iraq,Rome,Italy,Italy,0.5362657904624939
40,capital-common-countries,Baghdad,Iraq,Stockholm,Sweden,Sweden,0.5907803177833557
41,capital-common-countries,Baghdad,Iraq,Tehran,Iran,Iran,0.8114986419677734
42,capital-common-countries,Baghdad,Iraq,Tokyo,Japan,Japan,0.7056295871734619
43,capital-common-countries,Baghdad,Iraq,Athens,Greece,Greece,0.5793530344963074
44,capital-common-countries,Bangkok,Thailand,Beijing,China,China,0.8263983726501465
45,capital-common-countries,Bangkok,Thailand,Berlin,Germany,Germany,0.7295199036598206
46,capital-common-countries,Bangkok,Thailand,Bern,Switzerland,Switzerland,0.5047769546508789
47,capital-common-countries,Bangkok,Thailand,Cairo,Egypt,Egypt,0.8118712902069092
48,capital-common-countries,Bangkok,Thailand,Canberra,Australia,Australia,0.7154911756515503
49,capital-common-countries,Bangkok,Thailand,Hanoi,Vietnam,Viet_Nam,0.7700590491294861
50,capital-common-countries,Bangkok,Thailand,Havana,Cuba,Cuba,0.8007405996322632
51,capital-common-countries,Bangkok,Thailand,Helsinki,Finland,Finland,0.7515273690223694
52,capital-common-countries,Bangkok,Thailand,Islamabad,Pakistan,Pakistan,0.7976753115653992
53,capital-common-countries,Bangkok,Thailand,Kabul,Afghanistan,Afghanistan,0.6666889190673828
54,capital-common-countries,Bangkok,Thailand,London,England,Britain,0.6576253771781921
55,capital-common-countries,Bangkok,Thailand,Madrid,Spain,Spain,0.7655298709869385
56,capital-common-countries,Bangkok,Thailand,Moscow,Russia,Russia,0.8613657355308533
57,capital-common-countries,Bangkok,Thailand,Oslo,Norway,Norway,0.7142738103866577
58,capital-common-countries,Bangkok,Thailand,Ottawa,Canada,Canada,0.6684818863868713
59,capital-common-countries,Bangkok,Thailand,Paris,France,France,0.7388160228729248
60,capital-common-countries,Bangkok,Thailand,Rome,Italy,Italy,0.6863130331039429
61,capital-common-countries,Bangkok,Thailand,Stockholm,Sweden,Sweden,0.7587180733680725
62,capital-common-countries,Bangkok,Thailand,Tehran,Iran,Iran,0.8363437652587891
